ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
84,"validations missing on gst/arn textbox while adding a new seller",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","validations missing on gst/arn textbox while adding a new seller",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/06/2017 07:10:32 ","21/06/2017 09:39:32 "
85,"when click on save while adding a new seller, success popup takes too much time",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when click on save while adding a new seller, success popup takes too much time",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/06/2017 07:11:40 ","21/06/2017 07:11:40 "
86,"when user tries to update hsn from the panel, from product_product, value is becoming null",sandbox,Closed,Medium,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user tries to update hsn from the panel, from product_product, value is becoming null in db",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/06/2017 07:25:13 ","21/06/2017 09:38:27 "
87,"when user tries to change filter, data disappears from the 2nd tab",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"when user tries to change filter, data disappears from the 2nd tab",,,"Windows PC HP Generic/All Windows 8",,0,"03/07/2017 06:14:10 ","03/07/2017 06:14:10 "
88,"Approve button is not coming when clicked on checkbox",sandbox,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar",sanketmore,"Approve button is not coming when clicked on checkbox",,,"Windows PC HP Generic/All Windows 8",,0,"03/07/2017 06:26:26 ","03/07/2017 07:18:45 "
89,"when user performs rvp return, expiry date is coming wrong in wallet_transactions table",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user performs rvp return, expiry date is coming wrong in wallet_transactions table",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/07/2017 09:11:33 ","20/07/2017 10:29:49 "
90,"when all the amount is used from wallet, is expired is becoming 1 but expired amount still remains",sandbox,Resolved,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when all the amount is used from wallet, is expired is becoming 1 but expired amount still remains",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/07/2017 10:29:30 ","21/07/2017 07:43:21 "
91,"Bug in creating the segment list via excel sheet",sandbox,Resolved,Medium,Minor,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. ""Data added successfully"" message is showing even the data is not added.
","1. Data added successfully message should come only if data is added.","1. Open http://managesandbox.purplle.com/digitalmarketing/emailsubscriber; 2. Download any dump file; 3. Create the new segment name, upload the downloaded dump file; 4. Click on submit; 5. You will get erro like ""The filename uploads/digitalmarketing20170901152218.xls is not readable""; 6. Now click on back to previous page & refresh; 7. Here ""Data added successfully"" message is coming even the data is not added",,,0,"01/09/2017 09:54:48 ","16/09/2017 13:11:29 "
93,"Email notification is not sending to users after scheduling.",sandbox,Closed,Critical,Critical,Functional,Always,"Jagadeesh Tummalacharla","priyanka k","1. After we done the scheduling part, email notification is not sending to the users.","1. email notification should send to the users","1. Open http://managesandbox.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign name, segment list and schedule it to 5 min from current time; 3. Run the update cron before the scheduled time : http://managesandbox.purplle.com/crm/scheduler/update_promo_scheduler; 4. After update cron is success, run this cron after scheduled time for sending mail: http://managesandbox.purplle.com/crm/scheduler/promo_campaign; 5. Check whether user is getting mail or not",,,0,"04/09/2017 05:55:25 ","04/09/2017 15:11:53 "
95,"Error is getting when scheduling",sandbox,Closed,Critical,Major,Functional,Always,"Jagadeesh Tummalacharla",yashm,"1.  When i clicked on schedule, Error message is showing like ""Error occurred"" in Web push testing panel.",,"1. Open http://managesandbox.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign name, segment list and schedule it; 3. You will see an error message like ""Error occurred""",,webpush,0,"06/09/2017 07:22:02 ","06/09/2017 15:07:11 "
96,"Web push is not getting for mobile site",sandbox,Closed,High,Major,Functional,Always,"Jagadeesh Tummalacharla",yashm,"1. Web push is not getting in mobile site.",,,,webpush,0,"06/09/2017 10:50:35 ","07/09/2017 10:47:44 "
97,"Background image is not getting in web push for firefox",sandbox,"Not a Bug",High,Major,Visual,Always,"Jagadeesh Tummalacharla",yashm,"1. When received the web push for firefox, background image(Image URL from the panel) is not getting.",,"1. Open http://managesandbox.purplle.com/digitalmarketing/emailcampaign; 2. Select campaign name, segment list and schedule; 3. Run the cron http://managesandbox.purplle.com/crm/scheduler/prepareWebPush before scheduled time; 4. Run this cron after successful of step3 and after scheduled time, http://managesandbox.purplle.com/crm/scheduler/sendWebPush; 5. See the push on firefox",,webpush,0,"06/09/2017 10:54:41 ","07/09/2017 10:47:54 "
11,"Itemcode switch panel is not showing error message when user enters same item code twice",dev,Closed,Medium,Major,Functional,Always,archana,sanketmore,"page is getting hang. when user enters correct item code as special char or already used item code","Error message should be thrown","1. Open Itemcode switch ; 2. Enter wrong item code; 3. Enter correct item code which is already prsent",,,0,"07/11/2016 13:32:21 ","08/11/2016 11:08:54 "
12,"File name is overlapping with upload text",dev,Closed,Medium,Minor,Text,Always,archana,sanketmore,http://screencast.com/t/PX6Q4xzdjro,,"1. Upload excel file on show item code switch panel",,,0,"07/11/2016 13:33:47 ","08/11/2016 11:09:12 "
13,"choose file is not clickable under itemcode switch",dev,Closed,High,Major,Functional,Always,archana,sanketmore,,,"1. try to click on choose file to upload excel sheet",,,0,"07/11/2016 13:41:21 ","24/11/2016 06:53:50 "
14,"Speical charachters is getting accpet for itemcode",dev,Closed,Medium,Major,Functional,Always,archana,sanketmore,,"special char should be acceptable for item code excpet  ""-""","1. Enter new right itemcode as special characters","Windows PC",,0,"07/11/2016 13:43:39 ","08/11/2016 10:53:28 "
33,"Orders are being auto cancelled on 10th day, should happen on 5th day only",dev,Confirmed,High,Major,Functional,Always,vikram1,"Arvind Kurmi","Orders are being auto cancelled on 10th day, should happen on 5th day only","Orders should get auto cancelled on 5th day only",,"Windows PC",,0,"08/12/2016 10:24:32 ","16/12/2016 10:26:11 "
32,"change the message to ""A cashback of Rs. 200 has been credited to your Purplle Wallet""",dev,Confirmed,Medium,Trivial,Visual,Always,"Nirali Thakkar",natesh,"change the message to ""A cashback of Rs. 200 has been credited to your Purplle Wallet""

curently the message is coming wrong",,,"Windows PC Lenovo Generic/All Windows 8",cashback,0,"13/12/2016 07:54:29 ","16/12/2016 10:24:42 "
31,"Courier partner's tracking details are not getting displayed on order history pages & should be displayed till 30Day",dev,Confirmed,High,Major,Functional,Always,vikram1,"Arvind Kurmi","Track shipment buttons of courier partners are not being shown on order history pages & should be displayed till 30Days","Track shipment buttons of courier partners should be shown on order history pages & should be displayed till 30Days","1. Go order history page of shipped/delivered order[delivered should be within 30 days]; 2. See courrier partner's tracking details are not being displlayed","Windows PC",,0,"13/12/2016 09:24:20 ","16/12/2016 10:23:57 "
